Layer,Component,Feature_ID,Status
0,resid,19026,Active
0,resid,24693,Active
0,resid,32768,Active
1,resid,12037,Active
1,resid,15769,Active
2,resid,9960,Active
2,resid,10995,Active
2,resid,14779,Active
2,resid,32768,Active
3,resid,4607,Active
3,resid,8437,Active
3,resid,11981,Active
3,resid,20009,Active
3,resid,32768,Active
4,resid,8913,Active
4,resid,11586,Active
4,resid,15313,Active
4,resid,16089,Active
4,resid,22614,Active
4,resid,26914,Active
5,resid,8919,Active
5,resid,28507,Active
5,resid,32768,Active
